"subject" "activity" "measurement" "mean"
1 "laying" "TimeBodyAccelerationMeanX" 0.22159824394
1 "sitting" "TimeBodyAccelerationMeanX" 0.261237565425532
1 "standing" "TimeBodyAccelerationMeanX" 0.278917629056604
1 "walking" "TimeBodyAccelerationMeanX" 0.277330758736842
1 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.289188320408163
1 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.255461689622641
2 "laying" "TimeBodyAccelerationMeanX" 0.281373403958333
2 "sitting" "TimeBodyAccelerationMeanX" 0.27708735173913
2 "standing" "TimeBodyAccelerationMeanX" 0.277911472222222
2 "walking" "TimeBodyAccelerationMeanX" 0.276426586440678
2 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.27761534806383
2 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.247164790395833
3 "laying" "TimeBodyAccelerationMeanX" 0.275516852741935
3 "sitting" "TimeBodyAccelerationMeanX" 0.257197599134615
3 "standing" "TimeBodyAccelerationMeanX" 0.280046513278689
3 "walking" "TimeBodyAccelerationMeanX" 0.275567462068966
3 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.292423484693878
3 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.260819873067797
4 "laying" "TimeBodyAccelerationMeanX" 0.263559214981481
4 "sitting" "TimeBodyAccelerationMeanX" 0.27153827992
4 "standing" "TimeBodyAccelerationMeanX" 0.280499745892857
4 "walking" "TimeBodyAccelerationMeanX" 0.278582015166667
4 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.279965329555556
4 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.270876696730769
5 "laying" "TimeBodyAccelerationMeanX" 0.278334325576923
5 "sitting" "TimeBodyAccelerationMeanX" 0.273694139545455
5 "standing" "TimeBodyAccelerationMeanX" 0.282544390892857
5 "walking" "TimeBodyAccelerationMeanX" 0.27784234625
5 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.29354392712766
5 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.268459469914894
6 "laying" "TimeBodyAccelerationMeanX" 0.248656520140351
6 "sitting" "TimeBodyAccelerationMeanX" 0.276778487454545
6 "standing" "TimeBodyAccelerationMeanX" 0.280346248596491
6 "walking" "TimeBodyAccelerationMeanX" 0.283658868070175
6 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.277045258145833
6 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.268229355098039
7 "laying" "TimeBodyAccelerationMeanX" 0.250176694038462
7 "sitting" "TimeBodyAccelerationMeanX" 0.284674637291667
7 "standing" "TimeBodyAccelerationMeanX" 0.282723539433962
7 "walking" "TimeBodyAccelerationMeanX" 0.275592961754386
7 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.28030708
7 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.248706923078431
8 "laying" "TimeBodyAccelerationMeanX" 0.261254282907407
8 "sitting" "TimeBodyAccelerationMeanX" 0.267491472934783
8 "standing" "TimeBodyAccelerationMeanX" 0.279620986111111
8 "walking" "TimeBodyAccelerationMeanX" 0.27468631
8 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.283484089210526
8 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.258880152048781
9 "laying" "TimeBodyAccelerationMeanX" 0.2591955368
9 "sitting" "TimeBodyAccelerationMeanX" 0.24832674354
9 "standing" "TimeBodyAccelerationMeanX" 0.282310057333333
9 "walking" "TimeBodyAccelerationMeanX" 0.278502842115385
9 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.295923445
9 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.262436475714286
10 "laying" "TimeBodyAccelerationMeanX" 0.280230574137931
10 "sitting" "TimeBodyAccelerationMeanX" 0.270612056481481
10 "standing" "TimeBodyAccelerationMeanX" 0.276650300681818
10 "walking" "TimeBodyAccelerationMeanX" 0.278574076603774
10 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.290401594315789
10 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.267121853404255
11 "laying" "TimeBodyAccelerationMeanX" 0.280592970877193
11 "sitting" "TimeBodyAccelerationMeanX" 0.276590197358491
11 "standing" "TimeBodyAccelerationMeanX" 0.277715562765957
11 "walking" "TimeBodyAccelerationMeanX" 0.271821892881356
11 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.291605631956522
11 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.263775859277778
12 "laying" "TimeBodyAccelerationMeanX" 0.260113433
12 "sitting" "TimeBodyAccelerationMeanX" 0.275007224901961
12 "standing" "TimeBodyAccelerationMeanX" 0.277405834918033
12 "walking" "TimeBodyAccelerationMeanX" 0.2771286656
12 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.281521097391304
12 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.272970338653846
13 "laying" "TimeBodyAccelerationMeanX" 0.276716360483871
13 "sitting" "TimeBodyAccelerationMeanX" 0.274328499591837
13 "standing" "TimeBodyAccelerationMeanX" 0.277758431052632
13 "walking" "TimeBodyAccelerationMeanX" 0.275883130350877
13 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.294907553404255
13 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.258203939581818
14 "laying" "TimeBodyAccelerationMeanX" 0.233275439803922
14 "sitting" "TimeBodyAccelerationMeanX" 0.279990577037037
14 "standing" "TimeBodyAccelerationMeanX" 0.280545613833333
14 "walking" "TimeBodyAccelerationMeanX" 0.271959598644068
14 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.293422115555556
14 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.26242106612963
15 "laying" "TimeBodyAccelerationMeanX" 0.2894756525
15 "sitting" "TimeBodyAccelerationMeanX" 0.27290337979661
15 "standing" "TimeBodyAccelerationMeanX" 0.278915803962264
15 "walking" "TimeBodyAccelerationMeanX" 0.273899207962963
15 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.280198851190476
15 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.270187595833333
16 "laying" "TimeBodyAccelerationMeanX" 0.274227162571429
16 "sitting" "TimeBodyAccelerationMeanX" 0.280768574492754
16 "standing" "TimeBodyAccelerationMeanX" 0.283497402948718
16 "walking" "TimeBodyAccelerationMeanX" 0.276023564509804
16 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.295586802191489
16 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.255986102627451
17 "laying" "TimeBodyAccelerationMeanX" 0.269780085577465
17 "sitting" "TimeBodyAccelerationMeanX" 0.2773570196875
17 "standing" "TimeBodyAccelerationMeanX" 0.277942503333333
17 "walking" "TimeBodyAccelerationMeanX" 0.272341855245902
17 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.29391828326087
17 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.252604768583333
18 "laying" "TimeBodyAccelerationMeanX" 0.274691576923077
18 "sitting" "TimeBodyAccelerationMeanX" 0.27727001877193
18 "standing" "TimeBodyAccelerationMeanX" 0.278458805890411
18 "walking" "TimeBodyAccelerationMeanX" 0.273887758571429
18 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.288439468909091
18 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.265401201896552
19 "laying" "TimeBodyAccelerationMeanX" 0.272653733493976
19 "sitting" "TimeBodyAccelerationMeanX" 0.273830316164384
19 "standing" "TimeBodyAccelerationMeanX" 0.27817226
19 "walking" "TimeBodyAccelerationMeanX" 0.273931172307692
19 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.262688053871795
19 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.242118808925
20 "laying" "TimeBodyAccelerationMeanX" 0.239507882205882
20 "sitting" "TimeBodyAccelerationMeanX" 0.278045439090909
20 "standing" "TimeBodyAccelerationMeanX" 0.278076904657534
20 "walking" "TimeBodyAccelerationMeanX" 0.272589336470588
20 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.296144421355556
20 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.252098317156863
21 "laying" "TimeBodyAccelerationMeanX" 0.271325472455556
21 "sitting" "TimeBodyAccelerationMeanX" 0.277539616823529
21 "standing" "TimeBodyAccelerationMeanX" 0.27695224258427
21 "walking" "TimeBodyAccelerationMeanX" 0.279183526730769
21 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.3014610196
21 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.265194544680851
22 "laying" "TimeBodyAccelerationMeanX" 0.279959721194444
22 "sitting" "TimeBodyAccelerationMeanX" 0.273583822709677
22 "standing" "TimeBodyAccelerationMeanX" 0.279053861587302
22 "walking" "TimeBodyAccelerationMeanX" 0.27886459
22 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.284458963861111
22 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.248391534566667
23 "laying" "TimeBodyAccelerationMeanX" 0.274038007986111
23 "sitting" "TimeBodyAccelerationMeanX" 0.273351251617647
23 "standing" "TimeBodyAccelerationMeanX" 0.277899323235294
23 "walking" "TimeBodyAccelerationMeanX" 0.273211884237288
23 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.289897411148148
23 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.249995171031373
24 "laying" "TimeBodyAccelerationMeanX" 0.272850494930556
24 "sitting" "TimeBodyAccelerationMeanX" 0.273475690147059
24 "standing" "TimeBodyAccelerationMeanX" 0.280348883913043
24 "walking" "TimeBodyAccelerationMeanX" 0.276980816034483
24 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.288631208909091
24 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.269881106779661
25 "laying" "TimeBodyAccelerationMeanX" 0.250791828613699
25 "sitting" "TimeBodyAccelerationMeanX" 0.278541482461538
25 "standing" "TimeBodyAccelerationMeanX" 0.278013701621622
25 "walking" "TimeBodyAccelerationMeanX" 0.278992759054054
25 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.291329666206897
25 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.277995411384615
26 "laying" "TimeBodyAccelerationMeanX" 0.271645864540789
26 "sitting" "TimeBodyAccelerationMeanX" 0.258243530166667
26 "standing" "TimeBodyAccelerationMeanX" 0.281127035405405
26 "walking" "TimeBodyAccelerationMeanX" 0.279264443728814
26 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.2792845828
26 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.272691394545455
27 "laying" "TimeBodyAccelerationMeanX" 0.274102492432432
27 "sitting" "TimeBodyAccelerationMeanX" 0.273941302571429
27 "standing" "TimeBodyAccelerationMeanX" 0.279566921625
27 "walking" "TimeBodyAccelerationMeanX" 0.276849485438596
27 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.2975441875
27 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.265770253921569
28 "laying" "TimeBodyAccelerationMeanX" 0.2759134825
28 "sitting" "TimeBodyAccelerationMeanX" 0.276977629444444
28 "standing" "TimeBodyAccelerationMeanX" 0.277795069113924
28 "walking" "TimeBodyAccelerationMeanX" 0.281228223888889
28 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.293642076521739
28 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.262005841764706
29 "laying" "TimeBodyAccelerationMeanX" 0.287295196811594
29 "sitting" "TimeBodyAccelerationMeanX" 0.2771799775
29 "standing" "TimeBodyAccelerationMeanX" 0.277965065846154
29 "walking" "TimeBodyAccelerationMeanX" 0.271999916792453
29 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.293140441083333
29 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.265423066877551
30 "laying" "TimeBodyAccelerationMeanX" 0.281033900571429
30 "sitting" "TimeBodyAccelerationMeanX" 0.268336081379032
30 "standing" "TimeBodyAccelerationMeanX" 0.277112699152542
30 "walking" "TimeBodyAccelerationMeanX" 0.276406758
30 "walkingDownstairs" "TimeBodyAccelerationMeanX" 0.283190646967742
30 "walkingUpstairs" "TimeBodyAccelerationMeanX" 0.271415642261538
1 "laying" "TimeBodyAccelerationMeanY" -0.0405139534294
1 "sitting" "TimeBodyAccelerationMeanY" -0.00130828765170213
1 "standing" "TimeBodyAccelerationMeanY" -0.0161375901037736
1 "walking" "TimeBodyAccelerationMeanY" -0.0173838185273684
1 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.00991850461020408
1 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0239531492643396
2 "laying" "TimeBodyAccelerationMeanY" -0.0181587397583333
2 "sitting" "TimeBodyAccelerationMeanY" -0.0156879937282609
2 "standing" "TimeBodyAccelerationMeanY" -0.0184208270166667
2 "walking" "TimeBodyAccelerationMeanY" -0.0185949199145763
2 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0226614158361702
2 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0214121132045833
3 "laying" "TimeBodyAccelerationMeanY" -0.0189556785048387
3 "sitting" "TimeBodyAccelerationMeanY" -0.00350299841730769
3 "standing" "TimeBodyAccelerationMeanY" -0.0143376555065574
3 "walking" "TimeBodyAccelerationMeanY" -0.0171767844203448
3 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0193554079328571
